Index,Upazila_or_Thana,District,Area_Zip_Code,Latitude,Longitude,Operator,Active_Network_Available,Network_Level,Satisfaction_Score,Real_Time_Experience
0,Kawkhali,Pirojpur,8510,22.6261283,90.0592775,GP,4G,Low,3,4
1,Mathbaria,Pirojpur,8560,22.2875917,89.9592718,GP,4G,Low,3,4
2,Nazirpur,Pirojpur,8540,22.729367,89.9608795,GP,4G,Low,3,5
3,Nesarabad,Pirojpur,8522,22.7472,90.1036,GP,4G,Moderate,6,6
4,Pirojpur Sadar,Pirojpur,8500,22.5778,89.99,GP,4G,Good,10,7.5
5,Zianagar,Pirojpur,8502,22.4858,89.9603,GP,4G,Low,3,3.5
6,Akhaura,Brahmanbaria,3450,23.8833,91.2166,GP,4G,Moderate,6,7
7,Ashuganj,Brahmanbaria,3402,24.0366,91.005,GP,4G,Good,10,8
8,Brahmanbaria Sadar,Brahmanbaria,3400,23.9528,91.1167,GP,4G,Good,10,9
9,Bancharampur,Brahmanbaria,3420,23.7778,90.8083,GP,4G,Moderate,6,6.5
10,Bijoynagar,Brahmanbaria,3431,24.0211,91.2797,GP,4G,Low,3,3.5
11,Kasba,Brahmanbaria,3460,23.7333,91.1667,GP,4G,Moderate,6,6.5
12,Nabinagar,Brahmanbaria,3410,23.8833,90.9833,GP,4G,Moderate,6,6
13,Nasirnagar,Brahmanbaria,3440,24.1065,91.195,GP,4G,Moderate,6,6
14,Sarail,Brahmanbaria,3430,24.09247222,91.11977778,GP,4G,Low,3,6
15,Alikadam,Bandarban,4650,21.6667,92.3056,GP,4G,Very Low,1,1
16,Bandarban Sadar,Bandarban,4600,22.2333,92.1917,GP,4G,Low,3,4
17,Lama,Bandarban,4640,21.775,92.2,GP,4G,Not Available,0,0
18,Naikhongchhari,Bandarban,4660,21.4167,92.1833,GP,4G,Not Available,0,0
19,Rowangchari,Bandarban,4610,22.1667,92.3333,GP,4G,Not Available,0,0
20,Ruma,Bandarban,4620,22.05,92.4167,GP,4G,Very Low,1,1
21,Thanchi,Bandarban,4630,21.7861,92.4278,GP,4G,Not Available,0,0
22,Chandpur Sadar,Chandpur,3600,23.2139,90.6361,GP,4G,Good,10,8.5
23,Faridganj,Chandpur,3650,23.125,90.7486,GP,4G,Moderate,6,6
24,Haimchar,Chandpur,3660,23.0667,90.6375,GP,4G,Low,3,3.5
25,Hajiganj,Chandpur,3610,23.25,90.85,GP,4G,Moderate,6,5
26,Kachua,Chandpur,3630,23.35,90.8917,GP,4G,Low,3,4.5
27,Matlab (Dakshin),Chandpur,3640,23.35,90.7083,GP,4G,Low,3,4
28,Matlab (Uttar),Chandpur,3600,23.45,90.63,GP,4G,Moderate,6,5.5
29,Shahrasti,Chandpur,3620,23.2222,90.95,GP,4G,Low,3,4
30,Anwara,Chittagong,4376,22.2167,91.9111,GP,4G,Moderate,6,6
31,Banskhali,Chittagong,4390,22.025,91.955,GP,4G,Moderate,6,6
32,Boalkhali,Chittagong,4366,22.3778,91.9208,GP,4G,Moderate,6,6.5
33,Chandanish,Chittagong,4380,22.2111,92.0417,GP,4G,Moderate,6,6
34,Fatikchari,Chittagong,4350,22.75,91.74,GP,4G,Low,3,4
35,Karnaphuli,Chittagong,4370,22.3,91.9,GP,4G,Moderate,6,6
36,Lohagara,Chittagong,4396,22.0083,92.1056,GP,4G,Moderate,6,5.5
37,Mirsharai,Chittagong,4320,22.7722,91.575,GP,4G,Moderate,6,6
38,Patiya,Chittagong,4370,22.3,91.9833,GP,4G,Moderate,6,6
39,Rangunia,Chittagong,4360,22.4667,92.0833,GP,4G,Low,3,4.5
40,Raozan,Chittagong,4340,22.5333,91.9333,GP,4G,Low,3,5
41,Sandwip,Chittagong,4300,22.4833,91.4417,GP,4G,Low,3,4.5
42,Satkania,Chittagong,4386,22.08833333,92.085,GP,4G,Moderate,6,6
43,Sitakunda,Chittagong,4310,22.61666667,91.66166667,GP,4G,Moderate,6,6.5
44,Chakoria,Cox'S Bazar,4741,21.7861,92.0778,GP,4G,Moderate,6,6
45,Cox's Bazar Sadar,Cox'S Bazar,4700,21.45,91.9833,GP,4G,Good,10,9
46,Kutubdia,Cox'S Bazar,4720,21.8167,91.8583,GP,4G,Low,3,2.5
47,Moheshkhali,Cox'S Bazar,4710,21.55,91.95,GP,4G,Low,3,3.5
48,Pekua,Cox'S Bazar,4740,21.825,91.975,GP,4G,Low,3,3.5
49,Ramu,Cox'S Bazar,4730,21.45833333,92.1,GP,4G,Low,3,3.5
50,Teknaf,Cox'S Bazar,4760,20.8667,92.3,GP,4G,Low,3,4.5
51,Ukhiya,Cox'S Bazar,4750,21.22,92.12,GP,4G,Moderate,6,5.5
52,Barura,Cumilla,3560,23.375,91.0583,GP,4G,Moderate,6,6
53,Brahmanpara,Cumilla,3526,23.6167,91.1083,GP,4G,Low,3,5
54,Burichong,Cumilla,3520,23.55,91.12666667,GP,4G,Low,3,5
55,Chandina,Cumilla,3510,23.4833,91.0083,GP,4G,Moderate,6,6
56,Chauddagram,Cumilla,3550,23.22,91.3,GP,4G,Moderate,6,6.5
57,Cumilla Sadar,Cumilla,3500,23.4583,91.1833,GP,4G,Good,10,9
58,Cumilla Sadar Daksin,Cumilla,3500,23.3667,91.2,GP,4G,Good,10,8
59,Daudkandi,Cumilla,3516,23.5333,90.7167,GP,4G,Good,10,8
60,Debidwar,Cumilla,3530,23.6,90.9917,GP,4G,Moderate,6,6
61,Homna,Cumilla,3546,23.6833,90.7917,GP,4G,Moderate,6,6
62,Laksham,Cumilla,3570,23.24666667,91.12833333,GP,4G,Good,10,7.5
63,Lalmai,Cumilla,3560,23.36002,91.15254,GP,4G,Moderate,6,5.5
64,Meghna,Cumilla,3515,23.627,90.7037,GP,4G,Low,3,4.5
65,Monohorganj,Cumilla,3623,23.1667,91.0667,GP,4G,Moderate,6,5.5
66,Muradnagar,Cumilla,3540,23.6385,90.9325,GP,4G,Moderate,6,6
67,Nangalkot,Cumilla,3580,23.13,91.22,GP,4G,Low,3,4
68,Titas,Cumilla,3546,23.6,90.7667,GP,4G,Low,3,3.5
69,Chhagalniya,Feni,3910,23.0361,91.5194,GP,4G,Low,3,3.5
70,Daganbhuiyan,Feni,3920,22.9375,91.3042,GP,4G,Low,3,3.5
71,Amtali,Barguna,8710,22.1294,90.2289,GP,4G,Moderate,6,6
72,Bamna,Barguna,8730,22.3014,90.1,GP,4G,Low,3,4
73,Barguna Sadar,Barguna,8700,22.1508,90.1264,GP,4G,Moderate,6,7
74,Betagi,Barguna,8740,22.4167,90.1681,GP,4G,Low,3,4.5
75,Patharghata,Barguna,8720,22.03333333,89.96666667,GP,4G,Low,3,3
76,Taltali,Barguna,8720,22.00146,90.00295,GP,4G,Low,3,3.5
77,Agailjhara,Barishal,8240,22.9667,90.15,GP,4G,Moderate,6,5.5
78,Babuganj,Barishal,8210,22.8319,90.3222,GP,4G,Low,3,5
79,Bakerganj,Barishal,8280,22.55,90.3389,GP,4G,Low,3,4
80,Banaripara,Barishal,8530,22.7819,90.1667,GP,4G,Low,3,3
81,Barishal Sadar,Barishal,8200,22.7,90.3667,GP,4G,Good,10,8.5
82,Hizla,Barishal,8260,22.9,90.5083,GP,4G,Low,3,4.5
83,Mehendiganj,Barishal,8270,22.8319,90.5333,GP,4G,Low,3,4.5
84,Muladi,Barishal,8250,22.915,90.415,GP,4G,Moderate,6,6
85,Uzirpur,Barishal,8220,22.8111,90.2444,GP,4G,Moderate,6,7
86,Bhola-S,Bhola,8300,22.6903,90.6525,GP,4G,Moderate,6,5.5
87,Borhanuddin,Bhola,8320,22.5,90.7217,GP,4G,Low,3,3.5
88,Charfassion,Bhola,8340,22.1847,90.7625,GP,4G,Low,3,4
89,Daulatkhan,Bhola,8310,22.6069,90.7358,GP,4G,Low,3,3.5
90,Lalmohan,Bhola,8330,22.3211,90.7472,GP,4G,Low,3,4.5
91,Monpura,Bhola,8360,22.2986,90.9792,GP,4G,Low,3,4.5
92,Tazumuddin,Bhola,8350,22.4167,90.8486,GP,4G,Moderate,6,6
93,Jhalokathi Sadar,Jhalokathi,8400,22.6406,90.19868,GP,4G,Moderate,6,8
94,Kathalia,Jhalokathi,8430,22.4,90.125,GP,4G,Low,3,5
95,Nalchity,Jhalokathi,8420,22.6222,90.2708,GP,4G,Moderate,6,5.5
96,Rajapur,Jhalokathi,8410,22.5667,90.1417,GP,4G,Low,3,5
97,Bauphal,Patuakhali,8620,22.45,90.53,GP,4G,Low,3,5
98,Dashmina,Patuakhali,8630,22.2833,90.5903,GP,4G,Low,3,4
99,Dumki,Patuakhali,8602,22.43333333,90.36666667,GP,4G,Low,3,4
100,Galachipa,Patuakhali,8640,22.1639,90.4306,GP,4G,Low,3,5
101,Kalapara,Patuakhali,8650,21.9861,90.2422,GP,4G,Low,3,5
102,Mirzaganj,Patuakhali,8610,22.36,90.22,GP,4G,Low,3,4
103,Patuakhali Sadar,Patuakhali,8600,22.3542,90.3181,GP,4G,Good,10,8
104,Rangabali,Patuakhali,8640,21.9333,90.4333,GP,4G,Low,3,2
105,Bhandaria,Pirojpur,8550,22.4889,90.0733,GP,4G,Moderate,6,6
106,Hathazari,Chittagong,4330,22.51666667,91.8,GP,4G,Moderate,6,6.5
107,Feni Sadar,Feni,3900,23.0167,91.3917,GP,4G,Good,10,7.5
108,Fulgazi,Feni,3942,23.13333333,91.43333333,GP,4G,Low,3,4
109,Porshuram,Feni,3940,23.21666667,91.44166667,GP,4G,Low,3,3.5
110,Sonagazi,Feni,3930,22.85,91.3917,GP,4G,Low,3,3.5
111,Dighinala,Khagrachari,4420,23.2583,92.0583,GP,4G,Very Low,1,1.5
112,Guimara,Khagrachari,4440,22.9604,91.8695,GP,4G,Very Low,1,1.5
113,Khagrachari Sadar,Khagrachari,4400,23.0417,91.9944,GP,4G,Low,3,3.5
114,Laxmichari,Khagrachari,4470,22.81,91.94,GP,4G,Very Low,1,1
115,Mahalchari,Khagrachari,4430,22.92,92.025,GP,4G,Very Low,1,1.5
116,Manikchari,Khagrachari,4460,22.8347,91.8361,GP,4G,Low,3,2.5
117,Matiranga,Khagrachari,4450,23.0417,91.875,GP,4G,Very Low,1,1.5
118,Panchari,Khagrachari,4410,23.3,91.88,GP,4G,Very Low,1,1.5
119,Ramgarh,Khagrachari,4440,22.9667,91.7,GP,4G,Very Low,1,1.5
120,Komol Nagar, Laxmipur,3731,22.73,90.88,GP,4G,Low,3,3.5
121, Laxmipur Sadar, Laxmipur,3700,22.95,90.825,GP,4G,Moderate,6,6.5
122,Raipur, Laxmipur,3710,23.0333,90.775,GP,4G,Moderate,6,6.5
123,Ramganj, Laxmipur,3720,23.105,90.875,GP,4G,Low,3,5
124,Ramgati, Laxmipur,3730,22.72,90.89,GP,4G,Low,3,3.5
125,Begumganj,Noakhali,3820,22.95,91.1,GP,4G,Moderate,6,7.5
126,Chatkhil,Noakhali,3870,23.05,90.9583,GP,4G,Low,3,5
127,Companiganj,Noakhali,3851,22.875,91.2833,GP,4G,Low,3,5
128,Hatiya,Noakhali,3890,22.3667,91.125,GP,4G,Low,3,5
129,Kabir Hat,Noakhali,3807,22.8333,91.2,GP,4G,Low,3,5
130,Noakhali Sadar,Noakhali,3806,22.8256,91.1014,GP,4G,Moderate,6,7
131,Senbag,Noakhali,3860,23,91.23,GP,4G,Low,3,5
132,Sonaimuri,Noakhali,3827,23.03833333,91.10833333,GP,4G,Moderate,6,6
133,Subarna Char,Noakhali,3812,22.6833,91.11,GP,4G,Low,3,4.5
134,Baghaichari,Rangamati,4590,23.15,92.1917,GP,4G,Not Available,0,0
135,Barkal,Rangamati,4570,22.7333,92.3583,GP,4G,Not Available,0,0
136,Belaichari,Rangamati,4550,22.4667,92.375,GP,4G,Not Available,0,0
137,Juraichari,Rangamati,4560,22.6667,92.3833,GP,4G,Not Available,0,0
138,Kaptai,Rangamati,4530,22.5,92.2167,GP,4G,Low,3,3.5
139,Kaukhali,Rangamati,4510,22.5333,92.0167,GP,4G,Very Low,1,1.5
140,Langadu,Rangamati,4580,22.95,92.15,GP,4G,Not Available,0,0
141,Nanniarchar,Rangamati,4520,22.8583,92.1167,GP,4G,Very Low,1,2
142,Rajosthali,Rangamati,4540,22.3833,92.2417,GP,4G,Not Available,0,0
143,Rangamati Sadar,Rangamati,4500,22.65,92.1833,GP,4G,Moderate,6,5.5
144,Dhamrai,Dhaka,1350,23.90833333,90.21666667,GP,4G,Moderate,6,7.5
145,Dohar,Dhaka,1330,23.5958,90.1222,GP,4G,Moderate,6,5.5
146,Keraniganj,Dhaka,1310,23.68333333,90.33333333,GP,4G,Good,10,8.5
147,Nawabganj,Dhaka,1320,23.6667,90.1667,GP,4G,Moderate,6,5.5
148,Savar,Dhaka,1340,23.88,90.28,GP,4G,Good,10,7.5
149,Alfadanga,Faridpur,7870,23.2833,89.7167,GP,4G,Low,3,4.5
150,Bhanga,Faridpur,7830,23.3833,89.9833,GP,4G,Good,10,8
151,Boalmari,Faridpur,7860,23.3917,89.6833,GP,4G,Low,3,5
152,Charbhadrasan,Faridpur,7810,23.55833,90.08333,GP,4G,Low,3,5
153,Faridpur Sadar,Faridpur,7800,23.5958,89.8306,GP,4G,Good,10,7.5
154,Madhukhali,Faridpur,7850,23.5417,89.6306,GP,4G,Moderate,6,5.5
155,Nagarkanda,Faridpur,7840,23.4153,89.8917,GP,4G,Moderate,6,6
156,Sadarpur,Faridpur,7820,23.4764,90.0333,GP,4G,Moderate,6,6
157,Saltha,Faridpur,7861,23.41,89.83,GP,4G,Low,3,4.5
158,Gazipur Sadar,Gazipur,1700,24,90.425,GP,4G,Good,10,8
159,Kaliakoir,Gazipur,1750,24.075,90.2167,GP,4G,Good,10,8
160,Kaligonj,Gazipur,1720,23.925,90.5667,GP,4G,Low,3,4.5
161,Kapasia,Gazipur,1730,24.15,90.61,GP,4G,Moderate,6,5.5
162,Sreepur,Gazipur,1740,24.2,90.4667,GP,4G,Moderate,6,6
163,Gopalganj Sadar,Gopalganj,8100,23.0167,89.8333,GP,4G,Good,10,7.5
164,Kasiani,Gopalganj,8130,23.2167,89.7,GP,4G,Moderate,6,6.5
165,Kotalipara,Gopalganj,8110,22.9833,89.9917,GP,4G,Moderate,6,5.5
166,Muksudpur,Gopalganj,8140,23.3167,89.8667,GP,4G,Moderate,6,7.5
167,Tungipara,Gopalganj,8120,22.9,89.8833,GP,4G,Moderate,6,7
168,Austagram,Kishoreganj,2380,24.2667,91.125,GP,4G,Moderate,6,5.5
169,Bajitpur,Kishoreganj,2336,24.2167,90.9583,GP,4G,Moderate,6,6.5
170,Bhairab,Kishoreganj,2350,24.05,90.98333333,GP,4G,Good,10,8
171,Hossainpur,Kishoreganj,2320,24.4167,90.65,GP,4G,Low,3,4
172,Itna,Kishoreganj,2390,24.5333,91.0833,GP,4G,Low,3,3
173,Karimganj,Kishoreganj,2310,24.4583,90.8833,GP,4G,Low,3,5
174,Katiadi,Kishoreganj,2330,24.25,90.7917,GP,4G,Moderate,6,6.5
175,Kishoreganj Sadar,Kishoreganj,2300,24.4333,90.7833,GP,4G,Good,10,8
176,Kuliarchar,Kishoreganj,2340,24.155,90.9,GP,4G,Moderate,6,7.5
177,Mithamoin,Kishoreganj,2370,24.425,91.045,GP,4G,Low,3,3.5
178,Nikli,Kishoreganj,2360,24.3167,90.9333,GP,4G,Low,3,4
179,Pakundia,Kishoreganj,2326,24.3333,90.6833,GP,4G,Moderate,6,6
180,Tarail,Kishoreganj,2316,24.5375,90.875,GP,4G,Low,3,4
181,Kalkini,Madaripur,7920,23.0667,90.2417,GP,4G,Moderate,6,5.5
182,Madaripur Sadar,Madaripur,7900,23.1667,90.2083,GP,4G,Good,10,7.5
183,Rajoir,Madaripur,7910,23.2083,90.0333,GP,4G,Moderate,6,7
184,Shibchar,Madaripur,7930,23.35,90.1667,GP,4G,Moderate,6,5.5
185,Daulatpur,Manikganj,1860,23.9611,89.8417,GP,4G,Low,3,3
186,Ghior,Manikganj,1840,23.8875,89.8375,GP,4G,Low,3,3
187,Harirampur,Manikganj,1830,23.7333,89.9667,GP,4G,Low,3,4.5
188,Manikganj Sadar,Manikganj,1800,23.85,90.0111,GP,4G,Good,10,8
189,Saturia,Manikganj,1810,23.5925,90.0231,GP,4G,Moderate,6,6.5
190,Shivalaya,Manikganj,1850,23.8333,89.7917,GP,4G,Moderate,6,7
191,Singair,Munshiganj,1820,23.8167,90.15,GP,4G,Moderate,6,6.5
192,Gazaria,Munshiganj,1510,23.5417,90.6083,GP,4G,Good,10,8
193,Lauhajong,Munshiganj,1530,23.47,90.35,GP,4G,Moderate,6,5.5
194,Munshiganj Sadar,Munshiganj,1500,23.4583,90.5417,GP,4G,Good,10,7.5
195,Sirajdikhan,Munshiganj,1540,23.5667,90.3833,GP,4G,Moderate,6,6.5
196,Sreenagar,Munshiganj,1550,23.5361,90.2917,GP,4G,Good,10,7.5
197,Tongibari,Munshiganj,1520,23.5,90.4583,GP,4G,Low,3,3
198,Araihazar,Narayanganj,1450,23.7917,90.65,GP,4G,Good,10,7.5
199,Bandar,Narayanganj,1410,23.6167,90.525,GP,4G,Moderate,6,7
200,Narayanganj Sadar,Narayanganj,1400,23.6,90.5,GP,4G,Good,10,8.5
201,Rupganj,Narayanganj,1460,23.7931,90.5167,GP,4G,Moderate,6,6
202,Sonargaon,Narayanganj,1440,23.6583,90.6083,GP,4G,Moderate,6,6.5
203,Belabo,Narshingdi,1640,24.0917,90.85,GP,4G,Low,3,4.5
204,Monohardi,Narshingdi,1650,24.1278,90.7,GP,4G,Low,3,5
205,Narshingdi Sadar,Narshingdi,1600,23.9167,90.725,GP,4G,Good,10,8.5
206,Palash,Narshingdi,1610,23.95,90.625,GP,4G,Moderate,6,6.5
207,Raipura,Narshingdi,1630,23.9667,90.875,GP,4G,Moderate,6,6
208,Shibpur,Narshingdi,1620,24.375,90.7375,GP,4G,Moderate,6,5.5
209,Baliakandi,Rajbari,7730,23.635,89.55,GP,4G,Low,3,5
210,Goalanda,Rajbari,7710,23.7333,89.7611,GP,4G,Moderate,6,6.5
211,Kalukhali,Rajbari,7721,23.68,89.7,GP,4G,Low,3,5
212,Pangsha,Rajbari,7720,23.7917,89.4167,GP,4G,Moderate,6,6
213,Rajbari Sadar,Rajbari,7700,23.755,89.65,GP,4G,Good,10,8
214,Bhedarganj,Shariatpur,8030,89.65,90.4417,GP,4G,Low,3,5
215,Damuddya,Shariatpur,8040,23.1333,90.4333,GP,4G,Low,3,3.5
216,Goshairhat,Shariatpur,8050,23.07666667,90.43166667,GP,4G,Low,3,4
217,Janjira,Shariatpur,8010,23.16,90.13,GP,4G,Low,3,5
218,Naria,Shariatpur,8020,23.3,90.4,GP,4G,Low,3,4.5
219,Shariatpur Sadar,Shariatpur,8000,23.20833333,90.35,GP,4G,Moderate,6,6.5
220,Basail,Tangail,1920,24.2167,90.05,GP,4G,Low,3,4.5
221,Bhuapur,Tangail,1960,24.4583,89.8667,GP,4G,Low,3,5
222,Delduar,Tangail,1910,24.1417,89.9667,GP,4G,Moderate,6,6
223,Dhanbari,Tangail,1997,24.680578,89.939184,GP,4G,Moderate,6,5.5
224,Ghatail,Tangail,1980,24.46666667,89.96666667,GP,4G,Moderate,6,5.5
